Name, N, Comparisons, CPU_Seconds
quick Sort, 50000, 920377, 0.002517
Shell Sort, 2000, 36583, 0.000146
Shell Sort, 4000, 88771, 0.000328
Shell Sort, 6000, 140340, 0.000541
Shell Sort, 8000, 207039, 0.000755
Shell Sort, 10000, 270490, 0.000965
Shell Sort, 12000, 319534, 0.001198
Shell Sort, 14000, 387022, 0.001398
Shell Sort, 16000, 493483, 0.001699
Shell Sort, 18000, 520262, 0.001855
Shell Sort, 20000, 620876, 0.002159
Shell Sort, 22000, 651235, 0.002377
Shell Sort, 24000, 772287, 0.002682
Shell Sort, 26000, 833456, 0.002827
Shell Sort, 28000, 879765, 0.003147
Shell Sort, 30000, 967482, 0.003325
Shell Sort, 32000, 1216584, 0.003938
Shell Sort, 34000, 1150493, 0.003889
Shell Sort, 36000, 1260757, 0.004182
Shell Sort, 38000, 1283342, 0.004424
Shell Sort, 40000, 1453098, 0.004851
Shell Sort, 42000, 1644564, 0.005150
Shell Sort, 44000, 1495827, 0.005278
Shell Sort, 46000, 1652571, 0.005592
Shell Sort, 48000, 1842604, 0.006250
Shell Sort, 50000, 1904776, 0.006133
iquick sort, 2000, 25902, 0.000087
iquick sort, 4000, 59617, 0.000158
iquick sort, 6000, 91187, 0.000254
iquick sort, 8000, 126523, 0.000338
iquick sort, 10000, 173446, 0.000428
iquick sort, 12000, 210213, 0.000533
iquick sort, 14000, 254042, 0.000643
iquick sort, 16000, 286566, 0.000746
iquick sort, 18000, 327269, 0.000857
iquick sort, 20000, 365404, 0.000944
iquick sort, 22000, 411304, 0.001067
iquick sort, 24000, 453190, 0.001178
iquick sort, 26000, 465748, 0.001255
iquick sort, 28000, 512108, 0.001386
iquick sort, 30000, 580689, 0.001492
iquick sort, 32000, 587931, 0.001575
iquick sort, 34000, 616494, 0.001727
iquick sort, 36000, 714268, 0.001791
iquick sort, 38000, 740681, 0.001945
iquick sort, 40000, 791121, 0.002042
iquick sort, 42000, 847403, 0.002121
iquick sort, 44000, 890346, 0.002228
iquick sort, 46000, 909580, 0.002334
iquick sort, 48000, 927826, 0.002470
iquick sort, 50000, 988190, 0.002580
